CountryExpend,2000,2001,2002,2003,2004,2005
United States,31300000000000.00,32500000000000.00,37000000000000.00,43100000000000.00,48300000000000.00,52500000000000.00
Japan,4730000000000.00,4210000000000.00,4090000000000.00,4410000000000.00,4690000000000.00,4600000000000.00
Germany,2910000000000.00,2840000000000.00,3040000000000.00,3620000000000.00,3930000000000.00,3940000000000.00
United Kingdom,3900000000000.00,3880000000000.00,4320000000000.00,5120000000000.00,5860000000000.00,6070000000000.00
France,3490000000000.00,3440000000000.00,3760000000000.00,4740000000000.00,5480000000000.00,5460000000000.00
Chad,2640537332.00,3069415863.00,3429039401.00,4094973798.00,5054092035.00,6963680778.00
Malawi,1172246149.00,1268744922.00,1942929837.00,1736077940.00,2907587206.00,4512633224.00
Armenia,6802267163.00,6629913883.00,6418418069.00,7654163139.00,9804105352.00,14070753234.00
Cambodia,8017644006.00,7135575943.00,6765381670.00,6785624529.00,6772402460.00,7061698228.00
Nicaragua,3997769142.00,3638501205.00,4516165653.00,4578659063.00,4235359503.00,5078818563.00