Country,IE,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
Egypt,Export,,0,7000000,8000000,1000000,,14000000,,27000000,17000000,15000000,,,,,17000000,,69000000,89000000,13000000,27000000,75000000,78000000,69000000,38000000,5000000,18000000,61000000,65000000,59000000,17000000,,11000000,18000000,13000000,8000000,5000000,5000000,,,,,,,,,,,,,
El Salvador,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,,,,,
Estonia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,
Ethiopia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,,51000000,,,,,,,,,,17000000,,,,,,,,,,,,,
Faeroe Islands,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Export,60000000,1000000,,,,1000000,86000000,33000000,33000000,33000000,2000000,43000000,30000000,,63000000,63000000,,,63000000,63000000,,,20000000,,,,,,1000000,,,12000000,3000000,8000000,14000000,20000000,8000000,10000000,24000000,20000000,9000000,24000000,25000000,33000000,23000000,27000000,97000000,30000000,67000000,41000000,34000000
France,Export,1171000000,1084000000,1523000000,1695000000,1896000000,1699000000,1731000000,1596000000,1873000000,1326000000,1777000000,2348000000,2533000000,2839000000,2122000000,2388000000,2110000000,2800000000,3207000000,2968000000,3697000000,3650000000,3641000000,3130000000,2807000000,3773000000,2944000000,1732000000,1827000000,2115000000,1673000000,1029000000,1056000000,791000000,764000000,942000000,1899000000,3149000000,3362000000,1813000000,1056000000,1297000000,1368000000,1345000000,2219000000,1724000000,1643000000,2432000000,1994000000,1865000000,834000000
French Polynesia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Export,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48000000,72000000,,72000000,,17000000,,,,,,
Germany,Export,151000000,13000000,134000000,129000000,426000000,299000000,653000000,721000000,588000000,746000000,1430000000,1387000000,1383000000,212000000,1169000000,1481000000,1723000000,1902000000,1615000000,1432000000,1621000000,1975000000,1679000000,2384000000,2938000000,1367000000,1481000000,1113000000,1616000000,1321000000,1789000000,2492000000,1404000000,1597000000,2763000000,1507000000,1939000000,895000000,1799000000,1825000000,1625000000,850000000,916000000,1713000000,1105000000,2080000000,2567000000,3194000000,2500000000,2432000000,2340000000
Ghana,Export,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Export,,,,,1000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5000000,12000000,,25000000,,17000000,29000000,7000000,1000000,,2000000,,6000000,31000000,13000000,23000000,,,,
Greenland,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Export,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Export,,,,,,,18000000,18000000,39000000,30000000,,,8000000,44000000,8000000,8000000,,,,,4000000,30000000,4000000,4000000,,,,,,,,,,21000000,,6000000,,24000000,,,,,34000000,,,82000000,,6000000,,,
Iceland,Export,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,
India,Export,,0,,,,,,,1000000,,,5000000,2000000,23000000,25000000,33000000,,,27000000,22000000,,,2000000,,,,,,1000000,,4000000,,1000000,7000000,2000000,2000000,,,,,16000000,2000000,0,4000000,26000000,19000000,33000000,21000000,11000000,22000000,4000000
Indonesia,Export,,,,7000000,,,,,,6000000,6000000,,,,,,,,9000000,,4000000,,,,,8000000,4000000,,,,,,,16000000,16000000,25000000,,8000000,,49000000,,16000000,49000000,,25000000,8000000,8000000,,,,
Iran,Export,,,3000000,,,,,28000000,,,23000000,5000000,106000000,6000000,123000000,84000000,,,,,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,1000000,0,0,0,0,3000000,9000000,1000000,2000000,92000000,,2000000,5000000,5000000
Iraq,Export,3000000,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,165000000,20000000,,,,,,,,,,,,,,,,,,,,,
Ireland,Export,,,,,,,,,,,,,,,,,,,2000000,8000000,8000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,4000000,
Isle of Man,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Export,,,,,7000000,10000000,14000000,13000000,31000000,26000000,13000000,21000000,31000000,18000000,51000000,127000000,66000000,206000000,207000000,188000000,272000000,215000000,253000000,409000000,302000000,208000000,397000000,150000000,82000000,212000000,85000000,152000000,324000000,397000000,295000000,166000000,303000000,237000000,215000000,161000000,357000000,407000000,436000000,368000000,628000000,368000000,299000000,438000000,281000000,807000000,472000000
Italy,Export,99000000,249000000,267000000,235000000,366000000,275000000,222000000,126000000,162000000,334000000,265000000,326000000,262000000,287000000,371000000,703000000,656000000,583000000,650000000,1324000000,1171000000,1691000000,1707000000,1189000000,1311000000,950000000,199000000,581000000,360000000,271000000,166000000,303000000,231000000,300000000,187000000,284000000,328000000,451000000,420000000,484000000,192000000,216000000,426000000,341000000,212000000,774000000,502000000,684000000,417000000,514000000,627000000
Jamaica,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Export,,61000000,104000000,11000000,16000000,,5000000,,,33000000,,15000000,4000000,17000000,53000000,,,,9000000,58000000,179000000,,,45000000,30000000,74000000,99000000,,,15000000,30000000,68000000,126000000,153000000,162000000,158000000,188000000,32000000,,,,,,,,,,,,,
Jordan,Export,,,2000000,,,,,,,,,36000000,,22000000,9000000,50000000,,18000000,,,,,,76000000,,2000000,16000000,,7000000,16000000,,,,,77000000,,,6000000,,,,,,,42000000,17000000,,13000000,12000000,60000000,88000000
Kazakhstan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,12000000,3000000,6000000,183000000,19000000,12000000,,,5000000,,12000000,,,,
Kenya,Export,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,2000000,,2000000,,,,,,,,,,,,,,,,,
Kiribati,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",Export,,,,,,,,,,,,,,,11000000,6000000,,,,20000000,29000000,5000000,148000000,244000000,86000000,55000000,63000000,220000000,192000000,14000000,4000000,201000000,222000000,185000000,49000000,49000000,39000000,18000000,56000000,21000000,13000000,77000000,161000000,126000000,40000000,,,,,,
"Korea, Rep.",Export,,,,,,,,,,,,,141000000,,,,,,,105000000,105000000,108000000,54000000,,105000000,33000000,78000000,,51000000,46000000,72000000,116000000,,44000000,,21000000,62000000,60000000,72000000,,8000000,165000000,,100000000,29000000,48000000,94000000,220000000,80000000,163000000,95000000
Kuwait,Export,,,,,,,,3000000,,,,,,,,,,,,,24000000,,,,4000000,,,,,,,,,,,,,,99000000,,,,,,,,,,,,
Kyrgyzstan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000,,,,,,,,92000000,,,,,14000000,,
Laos,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,
Lebanon,Export,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,45000000,,,,,,,,
Lesotho,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Export,,,,,,,,,,,,,0,0,,25000000,4000000,,13000000,398000000,95000000,106000000,164000000,14000000,53000000,31000000,11000000,15000000,62000000,7000000,36000000,,,,3000000,,,3000000,10000000,,,,11000000,16000000,113000000,113000000,18000000,10000000,18000000,32000000,28000000
Liechtenstein,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,
Luxembourg,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Macao, China",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,
Malaysia,Export,,,,,,,,,,,,1000000,,,,,,,,,,,6000000,,,,,,,,,,,,,0,,,,8000000,,,,,,,,,,0,
Maldives,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,
Marshall Islands,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000,,36000000,,,226000000,,,6000000,42000000,59000000,10000000,,18000000,3000000,19000000,29000000,20000000,
Monaco,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000000,109000000,,,14000000
Morocco,Export,,,2000000,,,,,,,5000000,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Export,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Export,6000000,93000000,84000000,66000000,72000000,104000000,79000000,92000000,349000000,125000000,5000000,187000000,154000000,188000000,97000000,69000000,390000000,370000000,328000000,319000000,659000000,826000000,696000000,470000000,357000000,177000000,369000000,498000000,752000000,593000000,409000000,448000000,362000000,441000000,614000000,439000000,477000000,603000000,596000000,340000000,281000000,203000000,239000000,342000000,209000000,583000000,1187000000,1326000000,530000000,545000000,503000000
New Caledonia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Export,,,,,,,,1000000,1000000,0,,,0,2000000,5000000,3000000,,,,,,1000000,2000000,,10000000,7000000,0,,,,,34000000,4000000,,3000000,,,10000000,,1000000,1000000,,1000000,,1000000,0,,,,,
Nicaragua,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5000000,,76000000,21000000,,5000000,,,,,,,,,,,,,,,
Niger,Export,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,6000000,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Export,33000000,,25000000,55000000,67000000,65000000,80000000,140000000,65000000,50000000,,8000000,15000000,8000000,,8000000,8000000,8000000,93000000,161000000,158000000,278000000,68000000,35000000,,42000000,29000000,54000000,34000000,124000000,82000000,167000000,75000000,51000000,88000000,21000000,9000000,19000000,3000000,5000000,3000000,42000000,99000000,99000000,80000000,12000000,17000000,55000000,107000000,128000000,141000000
Oman,Export,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,5000000,,,,,,,,1000000,,,,,,,,,,,1000000,,,,,
Pakistan,Export,,,,,,,,5000000,,,,3000000,,,,,,,,,15000000,30000000,30000000,,,,,,,1000000,92000000,3000000,,,2000000,,,,,,3000000,1000000,9000000,8000000,9000000,22000000,4000000,,,,
Palau,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,Export,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Export,,,,,,,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,,,,,,,,,14000000,,,5000000,,,,,,
Philippines,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,4000000,,,
Poland,Export,5000000,5000000,12000000,86000000,193000000,190000000,262000000,265000000,244000000,279000000,224000000,227000000,228000000,158000000,228000000,286000000,381000000,349000000,280000000,195000000,180000000,312000000,183000000,88000000,60000000,85000000,258000000,218000000,257000000,20000000,86000000,69000000,49000000,,131000000,176000000,46000000,21000000,1000000,67000000,45000000,75000000,47000000,72000000,43000000,17000000,253000000,162000000,76000000,81000000,8000000
Portugal,Export,,,,,,,,2000000,,,,3000000,,5000000,11000000,86000000,16000000,,9000000,3000000,2000000,,,1000000,,,1000000,,,98000000,,,,1000000,,,,,,,,,,,,,,,87000000,46000000,0
Puerto Rico,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,56000000,,,40000000,,9000000,,,,,,,6000000,,,,
Romania,Export,,,,,,,,,,,,6000000,9000000,9000000,1000000,,,,27000000,55000000,61000000,43000000,105000000,116000000,187000000,114000000,43000000,49000000,67000000,45000000,11000000,6000000,13000000,16000000,30000000,7000000,4000000,12000000,2000000,19000000,3000000,,,24000000,,2000000,8000000,32000000,,4000000,
Russia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000000,3477000000,1552000000,3812000000,3508000000,2966000000,1966000000,4043000000,3960000000,5896000000,5705000000,5236000000,6178000000,5134000000,5095000000,5426000000,5953000000,5575000000,6039000000
Rwanda,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Export,,,,,,,,4000000,3000000,,,,2000000,,,,1000000,13000000,,,,33000000,,,3000000,9000000,,,,,,,,13000000,,,2000000,,,,,,,,,,,,,,58000000
Senegal,Export,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,5000000,,,,9000000,,,,,4000000,4000000,36000000,1000000,5000000
Seychelles,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Export,,,,,,,,,,,,2000000,,,,15000000,,,30000000,71000000,,15000000,,24000000,93000000,,,106000000,30000000,111000000,68000000,4000000,80000000,29000000,29000000,,0,87000000,42000000,10000000,10000000,,2000000,,66000000,3000000,,,,46000000,27000000
Slovak Republic,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148000000,10000000,91000000,54000000,54000000,10000000,126000000,37000000,53000000,33000000,,48000000,,7000000,18000000,8000000,,
Slovenia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Export,68000000,68000000,,,,,,4000000,4000000,,3000000,5000000,12000000,1000000,2000000,18000000,16000000,0,,,39000000,39000000,1000000,,,48000000,48000000,50000000,50000000,0,,52000000,69000000,49000000,10000000,16000000,28000000,7000000,24000000,22000000,19000000,32000000,16000000,43000000,71000000,26000000,137000000,153000000,164000000,165000000,80000000
Spain,Export,4000000,14000000,18000000,18000000,21000000,35000000,35000000,21000000,21000000,18000000,70000000,140000000,4000000,4000000,84000000,264000000,46000000,25000000,38000000,22000000,10000000,130000000,307000000,249000000,262000000,76000000,138000000,137000000,151000000,223000000,114000000,100000000,82000000,101000000,204000000,82000000,114000000,638000000,164000000,30000000,46000000,7000000,120000000,150000000,56000000,108000000,843000000,590000000,610000000,998000000,513000000
Sri Lanka,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Export,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Export,52000000,34000000,35000000,23000000,31000000,32000000,41000000,40000000,60000000,36000000,262000000,530000000,130000000,16000000,76000000,125000000,64000000,46000000,50000000,278000000,151000000,144000000,126000000,114000000,226000000,205000000,332000000,273000000,522000000,405000000,267000000,185000000,176000000,117000000,127000000,193000000,336000000,98000000,321000000,377000000,379000000,880000000,191000000,526000000,314000000,538000000,432000000,366000000,454000000,383000000,806000000
Switzerland,Export,432000000,500000000,528000000,328000000,370000000,482000000,359000000,253000000,87000000,100000000,13000000,25000000,17000000,21000000,37000000,308000000,337000000,279000000,232000000,421000000,524000000,552000000,395000000,308000000,499000000,329000000,238000000,274000000,296000000,236000000,365000000,393000000,356000000,174000000,133000000,139000000,179000000,113000000,207000000,273000000,174000000,193000000,157000000,181000000,243000000,246000000,285000000,301000000,482000000,255000000,137000000
Syria,Export,,,,,,,,,,,14000000,,,,2000000,2000000,,0,,,,,177000000,46000000,2000000,29000000,31000000,,15000000,,,,40000000,40000000,,,0,0,,,,,,,,,3000000,,,25000000,25000000
Tajikistan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,8000000,,,,,,
Timor-Leste,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Export,,,,,,,,,,,,,,,,,,,,,18000000,9000000,,,,,,,,,,,,,,3000000,3000000,0,3000000,38000000,15000000,5000000,23000000,38000000,25000000,47000000,61000000,37000000,65000000,46000000,31000000
Turkmenistan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216000000,209000000,287000000,208000000,193000000,561000000,721000000,775000000,280000000,700000000,311000000,442000000,200000000,290000000,553000000,728000000,330000000,320000000,201000000
United Arab Emirates,Export,,,,,,,,,,,,,,,8000000,,,,,,,,,14000000,,,,1000000,,,2000000,,,,,28000000,5000000,32000000,,,,,,,3000000,11000000,12000000,3000000,,,37000000
United Kingdom,Export,1942000000,1083000000,1167000000,986000000,1270000000,1425000000,1357000000,2225000000,1582000000,1893000000,908000000,2247000000,2378000000,2714000000,2388000000,2191000000,2360000000,2232000000,2028000000,1427000000,1659000000,2351000000,2453000000,2411000000,2464000000,2090000000,1929000000,3327000000,2339000000,3325000000,1900000000,1495000000,1203000000,1469000000,1516000000,1520000000,1636000000,2411000000,1374000000,1331000000,1606000000,1368000000,1068000000,741000000,1316000000,1039000000,855000000,1018000000,982000000,1022000000,1054000000
United States,Export,6096000000,6679000000,5742000000,9364000000,12570000000,11467000000,8528000000,7435000000,8385000000,11589000000,9069000000,11156000000,10199000000,12288000000,11968000000,15950000000,15819000000,15726000000,14896000000,10081000000,11083000000,13895000000,14209000000,13726000000,11497000000,10493000000,11544000000,12310000000,11811000000,11320000000,10647000000,12632000000,14113000000,14456000000,11781000000,11400000000,11197000000,14612000000,16176000000,11599000000,7398000000,5908000000,5229000000,5698000000,6866000000,6700000000,7453000000,8003000000,6288000000,6658000000,8641000000
Uruguay,Export,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,
Uzbekistan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252000000,126000000,4000000,,,,90000000,90000000
Vanuatu,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Export,,,,,,,,,,17000000,,,,,,12000000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1000000,,7000000,,3000000,40000000,
Vietnam,Export,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000,,,,
Virgin Islands (U.S.),Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Export,,,,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,,